time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-02T13:02:13.930Z,-6.1242,107.261,241.27,4.3,mb,,107,3.289,0.88,us,us1000dcds,2018-04-02T14:01:47.040Z,"5km NW of Rengasdengklok, Indonesia",earthquake,6.7,8.6,0.119,22,reviewed,us,us
2018-04-02T13:01:32.902Z,58.2363,-155.3044,9.4,3.1,ml,,,,1.11,ak,ak18900741,2018-04-02T13:10:37.148Z,"93km ESE of King Salmon, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-04-02T12:25:16.280Z,19.0201,-67.2835,48,3.09,md,10,216,0.5788,0.83,pr,pr2018092005,2018-04-02T17:47:27.822Z,"61km NNW of San Antonio, Puerto Rico",earthquake,4.019,11.64,0.14,7,reviewed,pr,pr
2018-04-02T11:42:10.790Z,26.4555,96.9769,10,4.9,mb,,64,3.282,0.98,us,us1000dcdk,2018-04-02T12:16:57.040Z,"126km NNW of Myitkyina, Burma",earthquake,7.9,1.9,0.065,75,reviewed,us,us
2018-04-02T11:03:06.800Z,35.3527,-97.8532,5.906,2.6,ml,,26,,0.38,us,us1000dcde,2018-04-03T02:38:16.019Z,"7km NNW of Tuttle, Oklahoma",earthquake,0.9,2.9,,,reviewed,tul,tul
2018-04-02T10:09:30.730Z,56.3187,-148.7906,17.82,4,mb,,164,2.539,0.95,us,us1000dcd4,2018-04-02T10:26:46.784Z,"273km SE of Kodiak, Alaska",earthquake,8,6.5,0.212,6,reviewed,us,us
2018-04-02T09:46:33.170Z,35.4344,26.5111,10,4.2,mb,,101,0.542,1.07,us,us1000dccv,2018-04-02T10:05:32.040Z,"35km NE of Palaikastron, Greece",earthquake,6,1.9,0.122,19,reviewed,us,us
2018-04-02T09:05:19.840Z,52.9201,-168.653,62.56,4,mb,,170,0.759,1.25,us,us1000dccr,2018-04-02T18:11:40.548Z,"14km E of Nikolski, Alaska",earthquake,9.1,12.1,0.061,71,reviewed,us,us
2018-04-02T08:45:31.722Z,59.9037,-153.5705,120.1,3.5,ml,,,,0.89,ak,ak18897756,2018-04-02T09:36:57.674Z,"77km ENE of Old Iliamna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-04-02T08:38:49.430Z,19.166,-64.983,49,3.38,md,8,328,1.3409,0.31,pr,pr2018092004,2018-04-02T14:03:23.040Z,"95km NNW of Road Town, British Virgin Islands",earthquake,4.99,18.97,0.1,6,reviewed,pr,pr
2018-04-02T07:58:55.960Z,-4.6388,142.2748,101.97,4.5,mb,,114,9.302,0.73,us,us1000dcci,2018-04-02T08:51:46.040Z,"77km SW of Ambunti, Papua New Guinea",earthquake,10.7,7.4,0.063,73,reviewed,us,us
2018-04-02T07:26:45.370Z,19.1943333,-155.496,36.17,2.64,ml,56,78,0.05025,0.1,hv,hv70068846,2018-04-02T22:24:17.680Z,"3km W of Pahala, Hawaii",earthquake,0.53,0.63,0.222,27,reviewed,hv,hv
2018-04-02T05:57:31.830Z,-24.8965,-176.6055,83.52,6.1,mww,,100,4.489,1.52,us,us1000dcbs,2018-04-02T15:00:40.040Z,South of the Fiji Islands,earthquake,7.5,5.9,0.061,26,reviewed,us,us
2018-04-02T04:40:43.960Z,31.6621,140.9661,45.02,4.7,mb,,103,1.746,0.76,us,us1000dcbj,2018-04-02T05:11:21.332Z,"192km SE of Hachijo-jima, Japan",earthquake,6,6.9,0.073,56,reviewed,us,us
2018-04-02T04:17:55.920Z,36.07,-83.6535,19.82,2.54,md,19,63,,0.12,se,se60222081,2018-04-02T12:12:54.550Z,"8km E of Mascot, Tennessee",earthquake,0.47,0.91,0.115,11,reviewed,se,se
2018-04-02T04:04:13.900Z,36.5135002,-121.0966644,5.32,2.48,md,36,71,0.06324,0.07,nc,nc72993200,2018-04-02T15:06:12.275Z,"5km ESE of Pinnacles, CA",earthquake,0.19,0.65,0.16,32,automatic,nc,nc
2018-04-02T03:24:27.790Z,19.3295,-64.3863,45,3.73,md,12,337,1.8838,0.37,pr,pr2018092000,2018-04-02T05:06:14.040Z,"91km N of Road Town, British Virgin Islands",earthquake,4.44,22.38,0.19,12,reviewed,pr,pr
2018-04-02T03:07:08.620Z,18.8705,-66.7865,11,2.94,md,9,271,0.5175,0.33,pr,pr2018092002,2018-04-02T05:29:08.817Z,"42km N of Hatillo, Puerto Rico",earthquake,2.34,3.46,0.15,9,reviewed,pr,pr
2018-04-02T03:03:59.700Z,61.4736,-140.362,10,2.8,ml,,34,0.696,0.91,us,us1000dcam,2018-04-02T04:41:08.040Z,"173km WNW of Haines Junction, Canada",earthquake,2.7,2,0.031,133,reviewed,us,us
2018-04-02T03:03:23.560Z,34.3476,45.7514,10,4.2,mb,,72,0.767,1.13,us,us1000dcaz,2018-04-02T04:32:40.040Z,"16km SW of Sarpol-e Zahab, Iran",earthquake,3.2,1.9,0.096,30,reviewed,us,us
2018-04-02T02:53:54.670Z,33.4925,-116.8045,2.91,3.37,mw,158,27,0.09185,0.24,ci,ci37904927,2018-04-03T02:55:42.005Z,"8km NE of Aguanga, CA",earthquake,0.1,0.46,,4,reviewed,ci,ci
2018-04-02T02:06:23.820Z,18.6968,-66.6863,68,2.83,md,5,289,0.3566,0.29,pr,pr2018092001,2018-04-02T05:28:39.289Z,"25km N of Arecibo, Puerto Rico",earthquake,2.06,2.35,0.06,3,reviewed,pr,pr
2018-04-02T01:50:50.930Z,-20.6202,-173.6805,10,5.3,mb,,67,3.852,1.1,us,us1000dcae,2018-04-02T02:10:42.040Z,"114km SE of Pangai, Tonga",earthquake,7.7,1.8,0.047,149,reviewed,us,us
2018-04-02T00:44:27.068Z,59.5794,-152.6645,77.5,3,ml,,,,0.55,ak,ak18891922,2018-04-02T00:59:27.113Z,"51km WSW of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-04-02T00:33:06.250Z,36.7552,-98.0613,5,2.5,mb_lg,,51,0.129,0.33,us,us1000dc98,2018-04-02T21:20:36.961Z,"26km E of Cherokee, Oklahoma",earthquake,1.2,1.2,0.228,5,reviewed,us,us
2018-04-01T23:30:49.330Z,-6.1665,149.4882,35,4.6,mb,,108,4.61,0.65,us,us1000dc8n,2018-04-03T03:37:51.040Z,"8km NW of Kandrian, Papua New Guinea",earthquake,10.4,2,0.063,76,reviewed,us,us
2018-04-01T22:54:43.670Z,-18.8695,-173.9536,10,4.5,mb,,92,3.815,0.62,us,us1000dcaa,2018-04-02T01:51:09.378Z,"24km S of Neiafu, Tonga",earthquake,8.9,1.9,0.156,12,reviewed,us,us
2018-04-01T22:44:41.570Z,18.678,-66.7025,22,3.1,md,14,232,0.2651,0.2,pr,pr2018091005,2018-04-01T23:18:46.371Z,"22km N of Arecibo, Puerto Rico",earthquake,0.91,2.74,0.32,12,reviewed,pr,pr
2018-04-01T21:01:17.990Z,-21.1387,-67.4501,183.44,4.8,mb,,40,1.792,0.97,us,us1000dc6t,2018-04-01T21:19:34.040Z,"99km SW of Uyuni, Bolivia",earthquake,4.9,6.6,0.035,257,reviewed,us,us
2018-04-01T20:15:27.113Z,61.7918,-150.682,54.4,2.5,ml,,,,0.5,ak,ak18890438,2018-04-01T23:10:39.642Z,"34km W of Willow, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-04-01T19:49:21.420Z,56.3297,-148.2018,19.03,4.3,mb,,140,2.801,1.05,us,us1000dc6e,2018-04-01T20:03:09.064Z,Gulf of Alaska,earthquake,7.7,7.4,0.16,11,reviewed,us,us
2018-04-01T18:26:22.110Z,35.4887,52.3976,10,4,mb,,67,5.473,1.11,us,us1000dc5y,2018-04-03T06:51:51.854Z,"29km NNE of Istgah-e Garmsar, Iran",earthquake,9.9,2,0.138,14,reviewed,us,us
